CAMPAIGN_ID,3b41d4c96bac_HG
CAMPAIGN_TITLE,"TTV-Evaluating Hate Removal: Rate"
EMPLOYER_ID,9d2f4f44

"Original phrase","New phrase","Similarity (1-5)","Hatefulness (1-5)"
"not a single peep from racist nigger obama nor vapid cunt hillary nor heeb bernie fuck you","Neither obama nor bernie gave you a peep.",4,2
"not a single peep from racist nigger obama nor vapid cunt hillary nor heeb bernie fuck you","White supremacist obama, vapid cunt hillary and bernie were not peeping from the same place.",3,5
"not a single peep from racist nigger obama nor vapid cunt hillary nor heeb bernie fuck you","obama and bernie were not peepers.",1,2
"not a single peep from racist nigger obama nor vapid cunt hillary nor heeb bernie fuck you","There were no peepes from hillary nor bernie.",3,5
"not a single peep from racist nigger obama nor vapid cunt hillary nor heeb bernie fuck you","There were no peepes from hillary nor bernie nor racist obama.",3,1
"but one of them is a nigger","One of them is black.",5,1
"but one of them is a nigger","One of them is a black.",5,1
"but one of them is a nigger","Of the three, one is an African American.",5,1
"but one of them is a nigger","Of the three, one is an ethnic minority.",3,1
"but one of them is a nigger","just ONE OF THEM IS A NEGLIGOR",1,1
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","Each negroid and mongoloid could be given as many jews as they wanted, as an incentive to leave, if I had the power.",2,5
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","The power I have at this moment will allow me to give each negroid and mongoloid as many jews as they want as an incentive to leave until all of them are gone.",2,5
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","In order to make the mongoloids leave, I would give each negroid and mongoloid as many jews as they wanted, as an incentive to leave.",2,5
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","In order to make the mongoloids leave, I would give each negroid and mongoloid as many jews as they wanted, as an incentive to leave until all of them were gone.",2,5
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","In order to make the mongoloids leave, I would give each negroid and mongoloid as many jews as they wanted, as an incentive to leave until all of them were gone",2,5
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","My power at this moment would allow me to give each negroid and mongoloid as many jews as they wanted as an incentive to leave, until all of them were gone.",3,5
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","As an incentive to leave until all of them were gone, I would give each negroid and mongoloid as many jews as they wanted in exchange for their return.",4,5
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","As an incentive to leave until all of them were gone, I would give each negroid and mongoloid as many jews as they wanted in exchange for their return to their native countries.",4,5
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","With the power I have right now, I would give each negroid and mongoloid as many jews as they wanted as an incentive to leave, and then we would all be free to go.",4,5
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","As an incentive to leave until all of them were gone, I would give each negroid and mongoloid as many jews as they wanted in exchange for their return to their native land.",4,5
"these nigger biches look like aunt jemima","Their appearance resembles that of Auntjemima",5,2
"these nigger biches look like aunt jemima","Their appearance resembles that of Aunt jemima.",4,2
"anything they say is a lie nigger just means black only blax use it becasue whites do not give a fuck about blax they just like controlling whites","They just like controlling whites, so anything they say is a lie.",3,4
"anything they say is a lie nigger just means black only blax use it becasue whites do not give a fuck about blax they just like controlling whites","They just like controlling whites, so anything they say is a lie, they just mean black only use it.",3,4
"anything they say is a lie nigger just means black only blax use it becasue whites do not give a fuck about blax they just like controlling whites","Nothing is a lie if it is a lie by black people.",4,3
"anything they say is a lie nigger just means black only blax use it becasue whites do not give a fuck about blax they just like controlling whites","They just like controlling whites, so anything they say is a lie, they just mean black only blax use.",4,3
"anything they say is a lie nigger just means black only blax use it becasue whites do not give a fuck about blax they just like controlling whites","They just like controlling whites, so anything they say is a lie, they just mean black only blax use it.",3,4
"anything they say is a lie nigger just means black only blax use it becasue whites do not give a fuck about blax they just like controlling whites","They just like controlling whites, so anything they say is a lie, they just mean black only blax use it",4,4
"long dead redneck friend of mine when discussing basketball said i have never seen a nigger run so fast unless he had a tv under each arm","A long dead redneck friend of mine said that he had never seen a run like that unless he had a tv under his arm.",3,4
"long dead redneck friend of mine when discussing basketball said i have never seen a nigger run so fast unless he had a tv under each arm","A long dead redneck friend of mine told me that I had never seen a run like that unless he had a tv under his arm.",3,1
"these nigger biches look like aunt jemima","these girls look like their aunt.",5,1
"these nigger biches look like aunt jemima","these girls look like their aunts.",4,2
"these nigger biches look like aunt jemima","these girls look like their aunts",5,2
"these nigger biches look like aunt jemima","these girls look like their aunt",4,3
"these nigger biches look like aunt jemima","The Biches looked similar to Aunt jemima.",4,3
"these nigger biches look like aunt jemima","The Biches looked similar to aunt jemima.",5,3
"these nigger biches look like aunt jemima","The Biches looked similar to Aunt jemima",4,3
"these nigger biches look like aunt jemima","jemima-lookalike biche",4,3
"these nigger biches look like aunt jemima","jemima-lookalike biche's",4,2
"these nigger biches look like aunt jemima","Their appearance resembles that of Aunt jemima",4,3
"when i see a nigger bich i do not see a woman i see a turd wit a brillohaid","I do not see a woman when I see a black person.",2,5
"when i see a nigger bich i do not see a woman i see a turd wit a brillohaid","I don't see a woman when I see a black person..",2,4
"when i see a nigger bich i do not see a woman i see a turd wit a brillohaid","It's not possible for me to see a woman when I see a black person.",2,4
"when i see a nigger bich i do not see a woman i see a turd wit a brillohaid","It's not possible for me to see a woman when I see a black person..",2,2
"these nigger biches look like aunt jemima","They look like aunt jemima.",2,2
"these nigger biches look like aunt jemima","They look like Aunt jemima.",1,2
"these nigger biches look like aunt jemima","They look like aunt jemima",2,4
"these nigger biches look like aunt jemima","Look like aunt jemima",2,3
"these nigger biches look like aunt jemima","Look like aunt jemima!",2,3
"these nigger biches look like aunt jemima","They look like aunt jemima.",3,3
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","With the power I have right now, I would give each negroid and mongoloid as many jews as they wanted as an incentive to leave, and then we would all be free to leave.",4,5
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","As an incentive to leave until all of them were gone, I would give each negroid and mongoloid as many jews as they wanted in exchange for their return to their native countries..",3,5
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","There is a chance that I have the power at this moment to return all of the negroids and mongoloids to their countries of origin.",4,5
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","""If I could give each negroid and mongoloid as many jews as they wanted, I'd bring back the mongoloids.""",3,5
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","""If I could give each negroid and mongoloid as many jews as they wanted, I'd bring back all the mongoloids.""",3,5
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","There is a chance that I have the power at this moment to return all of the negroids and mongoloids to their countries of origin if I so choose.",5,5
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","To give each negroid and mongoloid as many jews as they wanted, I would return all of them to their home countries if I had the power to do so.",3,5
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","In return for being given as many jews as they wanted they'd be able to bring back all of the mongoloids.",3,5
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","To give each negroid and mongoloid as many jews as they wanted, I would return all of them to their home countries if I had the power to do so right now.",3,5
"when i see a nigger bich i do not see a woman i see a turd wit a brillohaid","I don't see a woman when I see a black person.",5,5
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","With the power I have right now, I would give each negroid and mongoloid as many jews as they wanted as an incentive to leave, and then we would all be free to leave.",2,2
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","As an incentive to leave until all of them were gone, I would give each negroid and mongoloid as many jews as they wanted in exchange for their return to their native countries..",2,3
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","There is a chance that I have the power at this moment to return all of the negroids and mongoloids to their countries of origin.",4,2
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","""If I could give each negroid and mongoloid as many jews as they wanted, I'd bring back the mongoloids.""",2,2
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","""If I could give each negroid and mongoloid as many jews as they wanted, I'd bring back all the mongoloids.""",3,3
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","There is a chance that I have the power at this moment to return all of the negroids and mongoloids to their countries of origin if I so choose.",4,3
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","To give each negroid and mongoloid as many jews as they wanted, I would return all of them to their home countries if I had the power to do so.",2,4
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","In return for being given as many jews as they wanted they'd be able to bring back all of the mongoloids.",2,3
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","To give each negroid and mongoloid as many jews as they wanted, I would return all of them to their home countries if I had the power to do so right now.",2,3
"when i see a nigger bich i do not see a woman i see a turd wit a brillohaid","I don't see a woman when I see a black person.",4,3
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","With the power I have right now, I would give each negroid and mongoloid as many jews as they wanted as an incentive to leave, and then we would all be free to leave.",4,5
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","As an incentive to leave until all of them were gone, I would give each negroid and mongoloid as many jews as they wanted in exchange for their return to their native countries..",3,5
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","There is a chance that I have the power at this moment to return all of the negroids and mongoloids to their countries of origin.",1,5
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","""If I could give each negroid and mongoloid as many jews as they wanted, I'd bring back the mongoloids.""",1,5
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","""If I could give each negroid and mongoloid as many jews as they wanted, I'd bring back all the mongoloids.""",1,5
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","There is a chance that I have the power at this moment to return all of the negroids and mongoloids to their countries of origin if I so choose.",3,5
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","To give each negroid and mongoloid as many jews as they wanted, I would return all of them to their home countries if I had the power to do so.",4,5
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","In return for being given as many jews as they wanted they'd be able to bring back all of the mongoloids.",2,5
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","To give each negroid and mongoloid as many jews as they wanted, I would return all of them to their home countries if I had the power to do so right now.",2,5
"when i see a nigger bich i do not see a woman i see a turd wit a brillohaid","I don't see a woman when I see a black person.",3,5
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","Each negroid and mongoloid could be given as many jews as they wanted, as an incentive to leave, if I had the power.",3,3
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","The power I have at this moment will allow me to give each negroid and mongoloid as many jews as they want as an incentive to leave until all of them are gone.",5,5
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","In order to make the mongoloids leave, I would give each negroid and mongoloid as many jews as they wanted, as an incentive to leave.",5,5
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","In order to make the mongoloids leave, I would give each negroid and mongoloid as many jews as they wanted, as an incentive to leave until all of them were gone.",5,5
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","In order to make the mongoloids leave, I would give each negroid and mongoloid as many jews as they wanted, as an incentive to leave until all of them were gone",5,5
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","My power at this moment would allow me to give each negroid and mongoloid as many jews as they wanted as an incentive to leave, until all of them were gone.",5,5
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","As an incentive to leave until all of them were gone, I would give each negroid and mongoloid as many jews as they wanted in exchange for their return.",5,5
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","As an incentive to leave until all of them were gone, I would give each negroid and mongoloid as many jews as they wanted in exchange for their return to their native countries.",5,5
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","With the power I have right now, I would give each negroid and mongoloid as many jews as they wanted as an incentive to leave, and then we would all be free to go.",5,5
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","As an incentive to leave until all of them were gone, I would give each negroid and mongoloid as many jews as they wanted in exchange for their return to their native land.",5,5
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","Each negroid and mongoloid could be given as many jews as they wanted, as an incentive to leave, if I had the power.",4,1
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","The power I have at this moment will allow me to give each negroid and mongoloid as many jews as they want as an incentive to leave until all of them are gone.",3,2
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","In order to make the mongoloids leave, I would give each negroid and mongoloid as many jews as they wanted, as an incentive to leave.",2,2
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","In order to make the mongoloids leave, I would give each negroid and mongoloid as many jews as they wanted, as an incentive to leave until all of them were gone.",1,3
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","In order to make the mongoloids leave, I would give each negroid and mongoloid as many jews as they wanted, as an incentive to leave until all of them were gone",3,4
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","My power at this moment would allow me to give each negroid and mongoloid as many jews as they wanted as an incentive to leave, until all of them were gone.",2,2
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","As an incentive to leave until all of them were gone, I would give each negroid and mongoloid as many jews as they wanted in exchange for their return.",1,2
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","As an incentive to leave until all of them were gone, I would give each negroid and mongoloid as many jews as they wanted in exchange for their return to their native countries.",4,1
"i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone","With the power I have right now, I would give each negroid and mongoloid as many jews as they wanted as an incentive to leave, and then we would all be free to go.",4,2
