CAMPAIGN_ID,3b41d4c96bac_HG
CAMPAIGN_TITLE,"TTV-Evaluating Hate Removal: Rate"
EMPLOYER_ID,9d2f4f44

TASK_ID,SAME_TASK_GROUP_ID,STATUS,USER_ID,IP_ADDRESS,COUNTRY,START_TIME,FINISH_TIME,TIME_TOOK_TO_COMPLETE_TASK,"Original phrase","New phrase","Similarity (1-5)","Hatefulness (1-5)"
36004418,G621827c89a1da,OK,abfd0471,23.252.184.194,"United States","Friday, 25-Feb-22 03:45:10 EST","Friday, 25-Feb-22 03:47:34 EST","2 minute(s) and 24 second(s)","not a single peep from racist nigger obama nor vapid cunt hillary nor heeb bernie fuck you","Neither obama nor bernie gave you a peep.",4,2
36004418,G621827c89a1da,OK,abfd0471,23.252.184.194,"United States","Friday, 25-Feb-22 03:45:10 EST","Friday, 25-Feb-22 03:47:34 EST","2 minute(s) and 24 second(s)","not a single peep from racist nigger obama nor vapid cunt hillary nor heeb bernie fuck you","White supremacist obama, vapid cunt hillary and bernie were not peeping from the same place.",3,5
36004418,G621827c89a1da,OK,abfd0471,23.252.184.194,"United States","Friday, 25-Feb-22 03:45:10 EST","Friday, 25-Feb-22 03:47:34 EST","2 minute(s) and 24 second(s)","not a single peep from racist nigger obama nor vapid cunt hillary nor heeb bernie fuck you","obama and bernie were not peepers.",1,2
36004418,G621827c89a1da,OK,abfd0471,23.252.184.194,"United States","Friday, 25-Feb-22 03:45:10 EST","Friday, 25-Feb-22 03:47:34 EST","2 minute(s) and 24 second(s)","not a single peep from racist nigger obama nor vapid cunt hillary nor heeb bernie fuck you","There were no peepes from hillary nor bernie.",3,5
36004418,G621827c89a1da,OK,abfd0471,23.252.184.194,"United States","Friday, 25-Feb-22 03:45:10 EST","Friday, 25-Feb-22 03:47:34 EST","2 minute(s) and 24 second(s)","not a single peep from racist nigger obama nor vapid cunt hillary nor heeb bernie fuck you","There were no peepes from hillary nor bernie nor racist obama.",3,1
36004418,G621827c89a1da,OK,abfd0471,23.252.184.194,"United States","Friday, 25-Feb-22 03:45:10 EST","Friday, 25-Feb-22 03:47:34 EST","2 minute(s) and 24 second(s)","but one of them is a nigger","One of them is black.",5,1
36004418,G621827c89a1da,OK,abfd0471,23.252.184.194,"United States","Friday, 25-Feb-22 03:45:10 EST","Friday, 25-Feb-22 03:47:34 EST","2 minute(s) and 24 second(s)","but one of them is a nigger","One of them is a black.",5,1
36004418,G621827c89a1da,OK,abfd0471,23.252.184.194,"United States","Friday, 25-Feb-22 03:45:10 EST","Friday, 25-Feb-22 03:47:34 EST","2 minute(s) and 24 second(s)","but one of them is a nigger","Of the three, one is an African American.",5,1
36004418,G621827c89a1da,OK,abfd0471,23.252.184.194,"United States","Friday, 25-Feb-22 03:45:10 EST","Friday, 25-Feb-22 03:47:34 EST","2 minute(s) and 24 second(s)","but one of them is a nigger","Of the three, one is an ethnic minority.",3,1
36004418,G621827c89a1da,OK,abfd0471,23.252.184.194,"United States","Friday, 25-Feb-22 03:45:10 EST","Friday, 25-Feb-22 03:47:34 EST","2 minute(s) and 24 second(s)","but one of them is a nigger","just ONE OF THEM IS A NEGLIGOR",1,1
36050746,G621827c89de35,OK,72e38288,82.212.116.50,"United States","Saturday, 26-Feb-22 15:40:40 EST","Saturday, 26-Feb-22 15:41:42 EST","1 minute(s) and 2 second(s)","these nigger biches look like aunt jemima","these girls look like their aunt.",5,1
36050746,G621827c89de35,OK,72e38288,82.212.116.50,"United States","Saturday, 26-Feb-22 15:40:40 EST","Saturday, 26-Feb-22 15:41:42 EST","1 minute(s) and 2 second(s)","these nigger biches look like aunt jemima","these girls look like their aunts.",4,2
36050746,G621827c89de35,OK,72e38288,82.212.116.50,"United States","Saturday, 26-Feb-22 15:40:40 EST","Saturday, 26-Feb-22 15:41:42 EST","1 minute(s) and 2 second(s)","these nigger biches look like aunt jemima","these girls look like their aunts",5,2
36050746,G621827c89de35,OK,72e38288,82.212.116.50,"United States","Saturday, 26-Feb-22 15:40:40 EST","Saturday, 26-Feb-22 15:41:42 EST","1 minute(s) and 2 second(s)","these nigger biches look like aunt jemima","these girls look like their aunt",4,3
36050746,G621827c89de35,OK,72e38288,82.212.116.50,"United States","Saturday, 26-Feb-22 15:40:40 EST","Saturday, 26-Feb-22 15:41:42 EST","1 minute(s) and 2 second(s)","these nigger biches look like aunt jemima","The Biches looked similar to Aunt jemima.",4,3
