"text","label","pred1"
"as a woman you shouldn t complain about cleaning up your house amp as a man you should always take the trash out",2,0
"boy dats cold tyga dwn bad for cuffin dat hoe in the st place",1,1
"dawg rt you ever fuck a bitch and she start to cry you be confused as shit",1,1
"she look like a tranny",1,1
"the shit you hear about me might be true or it might be faker than the bitch who told it to ya",1,0
"the shit just blows me claim you so faithful and down for somebody but still fucking with hoes",1,1
"i can not just sit up and hate on another bitch i got too much shit going on",1,0
"cause i m tired of you big bitches coming for us skinny girls",1,1
"amp you might not get ya bitch back amp thats that",1,1
"hobbies include fighting mariam bitch",1,1
"keeks is a bitch she curves everyone lol i walked into a conversation like this smh",1,0
"murda gang bitch its gang land",1,1
"so hoes that smoke are losers yea go on ig",1,1
"bad bitches is the only thing that i like",1,1
"bitch get up off me",1,1
"bitch nigga miss me with it",1,1
"bitch plz whatever",1,1
"bitch who do you love",1,1
"bitches get cut off everyday b",1,1
"black bottle amp a bad bitch",1,1
"broke bitch cant tell me nothing",1,1
"cancel that bitch like nino",1,1
"cant you see these hoes wont change",1,1
"fuck no that bitch dont even suck dick the kermit videos bout to fuck ig up",1,1
"got ya bitch tip toeing on my hardwood floors",1,1
"her pussy lips like heaven doors",1,0
"hoe what its hitting for",1,1
"i met that pussy on ocean dr i gave that pussy a pill",1,0
"i need a trippy bitch who fuck on hennessy",1,1
"i spend my money how i want bitch its my business",1,0
"i txt my old bitch my new bitch pussy wetter",1,1
"i d say im back to the old me but my old bitches would get excited",1,1
"if you aint bout that murder game pussy nigga shut up",1,1
"if you re toes ain t done you pussy stinks",1,1
"im done with bitter bitches its a wrap for that if you a angry bird theres a app for that",1,1
"is that ya bitch",1,1
"it aint nothing to cut a bitch off",1,1
"jus meet son now he ya mane ass bitches shots",1,1
"lames crying over hoes thats tears of a clown",1,1
"like snoop said in we dont love these hoes",1,1
"momma said no pussy cats inside my doghouse",2,1
"most hated but the hoes favorite mw sevenone",1,1
"nice girls bad make me get naughty bad yello hoe real nice body down south chick like em real thick",1,0
"pimps up pimps up hoes down future voice",1,1
"post a picture of that pussy get likes",1,1
"pussy is a powerful drug happyhumpday",1,1
"quick piece of pussy call it a drive by",1,1
"running round here like some brand new pussy thats bout to get fucked",1,1
"these bitches even worst they ll send them guys for you",1,1
"these hoes like niggas that spend money not talk bout it",1,1
"we dont trust these niggas all these bitches",1,1
"yall niggas b cuffing hoes cause yall aint never have bitches",1,1
"you dodge a bullet all da bitches i cut off pregnant or bound to be thank god",1,1
"young pill chamberlain these bitches love my music",1,1
"teanna trump probably cleaner than most of these twitter hoes but",1,1
"gay niggas couldn t wait to act like bitches tonight",1,1
"and ima steal his cat n replace it with a pitbull rt he a bitch you should do it",1,1
"amp he s gone always be a hoe",1,1
"son of a bitch took my tic tacs i like this movie",1,0
"all i wanna do is get money and fuck model bitches russell simmons",1,1
"i probably wouldn t mind school as much if we didn t have to deal with bitch ass teachers retweet",1,1
"i m a fucking fag they said",1,1
"females think dating a pussy is cute now how does doing this stuff make him a pussy",1,1
"simplyaddictedtoguys woof woof hot scally lad",2,1
"have ya ever asked your bitch for other bitches kanye voice yes",1,1
"how u gone bring ur side bitch to a game where you know ya gf friends at i swear",1,1
"woof woof and hot soles",2,0
"lemmie eat a oreo amp do these dishes one oreo lol",2,0
"bitch fuck u maybe you ll get better just",1,1
"fuck red malone man bitch ass niggah could you please use complete sentences",1,1
"why the eggplant emoji doe y he say she looked like scream lmao",2,0
"hennessey venom gt that s one sexy bitch",1,1
"him seh me pussy wetter then a shower curtain ahmesehwetness lt lmao",1,0
"eaglesnation and every eagles need to see that pic i just posted because that bitch just said the most racist shit",1,1
"yo fuck skateboarding all y all some wood pushing faggots man ball is life",1,1
"baby monkey bathtime awwwwe this is soooo adorable",2,0
"i ain t shit damn skippy lol",1,0
"u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy no bs must b gt chance",1,1
"rings mvps bitches lol",1,1
"ppl talk bad about the ghetto hood but as a kid growing up a nigga had funnnnnnn",1,1
"the facts on tattoos tattoo he s a pussy with not tattooing them nipples",1,0
"bitches be wanting to act like niggas so bad that shit aint cuteeeee but niggas act like bitches",1,1
"get worshiping bitch woof woof",1,1
"wow rt i m lost are those buttcheek piercings yeah she s a hoe",1,1
"ok sis she d rather be a broke bitch shrugs she ll have to tell me how it works for her",1,1
"queer gaywad",0,0
"faggot read my tweets after dat k it wasn t even funny lol",1,1
"this bitch was so ungrateful fr lulwhore",1,1
"i been kidnapped yo bitch",1,0
"alsarabsss hes a beaner smh you can tell hes a mexican",0,2
"happy birthday nigs thanks yo",1,2
"when ur teacher tells u that u have homework this bitch need to go",1,1
"that nigga was eating that hoe lol hell yea lol john paul nigga said john paul",1,0
"what would y all lil ugly bald headed bitches do if they stop making make up amp weave",1,1
"leafs better win this damn game so i can go riot and shit earlychristmas you better start looting my nig",1,2
"going back to school sucks more dick than the hoes who attend it",1,1
"on my way to fuck yo bitch me as a year old",1,1
"how come you never bring me food i dont have a car retard",1,1
"if richnow doesn t show up with hella tinder hoes im not his friend anymore chill i brought like like prople",1,0
"how bout them cowboys shutup pussy",1,1
"lmaooooooooooo this nigga lt bitch want likes for some depressing shit foh",1,1
"girl you know i was spitting that g shit to you amp you was going lbvs bitch plz",1,1
"let me make a couple tweets off cuzzo page so i won t get in twitter jail lmao bitch don t trick me again",1,1
"harlem shake is just an excuse to go full retard for seconds",1,1
"amen miley okay but she don t need to act like a hoe just bc she s emotionally damaged foh",1,1
"having one loyal female is wayyyyy better than having hoes idc",1,1
"pussy licking pussy meow meow stopwhitepeople",1,0
"check out our th man cowboysnation even with all those faggot ny fans in the stands",1,1
"what happen to them vixen ent bitches they got ran and threw to the side like a foothill bitch",1,1
"im the bitch okay nudes pat wow",1,1
"you re fucking gay blacklisted hoe holding out for tehgodclan anyway",0,1
"the fuck be wrong with these bitches nobody knows",1,1
"yall shut up p make me bitch",1,0
"i hate a i m pregnant type of bitch",1,1
"got bitches in the dm but i don t ever read em which is y your top",1,1
"baseball season for the win yankees this is where the love started",2,0
"little stupid as bitch i don t fuck with yoooooouuuu",1,1
"she really asked me that dead ass serious tho all i could say was bitch wheet lol",1,1
"i m an early bird and i m a night owl so i m wise and have worms",2,0
"overdosing on heavy drugs doesn t sound bad tonight i do that pussy shit every day",2,0
"pit bulls photographed as lovely fairy tale creatures they are fairy tale creatures",2,0
"aw fag don t tweet aw to me lol",1,1
"as long as the lakers trash from now on i could careless and that s real cc hahaha",2,0
"i didn t say anything tho kiss me then faggot",1,1
"this the i play soccer cheat on girls and wear khaki coloured cargos haircut yup",2,0
"i could go for a fat ass bitch on my lap same",1,1
"missed calls das yo p o bitch twitter finna be screamn freemoneymelle",1,1
"ya side bitch gotta know it s rules to this shit anybody ask you my cousin from jersey thinkin bout moving lmmfao",1,1
"amo los pies fuck yeah",1,0
"these hoes be thinking meat won t slap they ass ainna bruh",1,1
"yall bitches wit no edges be doing the most talking",1,1
"yall still going trick or treating this year or nah hell yeah ima be da sweet tooth bandit steal bitches bags n shit",1,1
"i wanna have sex with my mom fuck her right in that pussy where i came from damn you got hacked like fuck",1,0
