CAMPAIGN_ID,3de27bb1c7a8_HG
CAMPAIGN_TITLE,"TTV-Speech Evaluation: Rate"
EMPLOYER_ID,f39a7deb

"Original phrase","New phrase","Similarity (1-5)","Hatefulness (1-5)"
"nigger faggot retard beaner dishwasher time to see if i get ban","The dishwasher time is to see if I get banned.",4,1
"nigger faggot retard beaner dishwasher time to see if i get ban","If I get a ban, I'll have to wait for the dishwasher.",1,3
"nigger faggot retard beaner dishwasher time to see if i get ban","If I get banned, I'll have to wait for the dishwasher to wash me.",1,3
"nigger faggot retard beaner dishwasher time to see if i get ban","The dishwasher time is to see if I get a ban.",4,1
"nigger faggot retard beaner dishwasher time to see if i get ban","If I get banned, I'll have to wait for the dishwasher to wash.",2,4
"nigger faggot retard beaner dishwasher time to see if i get ban","It's time for the dishwasher to see if I get banned.",4,1
"nigger faggot retard beaner dishwasher time to see if i get ban","It's time for the dishwasher to see if I get a ban.",2,4
"nigger faggot retard beaner dishwasher time to see if i get ban","The dishwasher time is to see if I get a ban or not.",4,1
"nigger faggot retard beaner dishwasher time to see if i get ban","There is a dishwasher time to see if I get banned.",4,1
"nigger faggot retard beaner dishwasher time to see if i get ban","The dishwasher time will be used to see if I get banned.",3,4
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","Every time a black person gets pregnant in Africa, it makes it a law.",5,1
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","You can make it a law if a black person in Africa gets pregnant and then terminates it.",4,2
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","You can make it a law if a black person in Africa gets pregnant and then terminates the baby.",4,2
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","The law in Africa makes it a law every time a black person gets pregnant.",3,2
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","Every time a black person gets pregnant in Africa, it makes it a law that can last up to 626 years.",4,1
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","Every time a black person gets pregnant in Africa, it makes it a law that can last up to  626 years.",4,1
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","The law in Africa makes it a law every time a black person gets pregnant and has an abortion.",3,3
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","It is possible to make a law about it every time a black person in Africa gets pregnant.",4,3
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","It is possible to make a law about it every time a black person gets pregnant in Africa.",4,3
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","You can make it a law if a black person in Africa gets pregnant and then terminates the baby in the hospital.",3,3
"diversity is a code word for white genocide immigrants contribute and integrate 3 rd world retards freeload and fornicate","White genocide immigrants contribute and integrate 3rd world retards and fornicate is a code word for diversity.",2,5
"diversity is a code word for white genocide immigrants contribute and integrate 3 rd world retards freeload and fornicate","For white genocide immigrants contribute and integrate 3rd world retards is a code word for diversity.",2,5
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","He never earned a degree and has no iq for work.",3,1
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","He never earned a degree and has no iq for a job.",3,1
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","He never earned a degree and has no iq for a job like that.",3,1
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","A degree position he never earned is given to him by the school and he doesn't have iq for it.",4,1
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","He never earned a degree and has no iq for a job like this.",4,1
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","His grades and degree position he never earned, he doesn't have iq for work.",3,1
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","A degree position he never earned is given to him by the school and he doesn't have iq for that.",3,1
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","He never earned a degree and has no iq for a job like that..",4,1
"diversity is a code word for white genocide immigrants contribute and integrate 3 rd world retards freeload and fornicate","White genocide immigrants contribute and integrate 3rd world retards and fornicate is a code word for diversity.",4,5
"diversity is a code word for white genocide immigrants contribute and integrate 3 rd world retards freeload and fornicate","For white genocide immigrants contribute and integrate 3rd world retards is a code word for diversity.",3,5
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","He never earned a degree and has no iq for work.",4,3
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","He never earned a degree and has no iq for a job.",4,2
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","He never earned a degree and has no iq for a job like that.",4,2
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","A degree position he never earned is given to him by the school and he doesn't have iq for it.",4,2
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","He never earned a degree and has no iq for a job like this.",3,3
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","His grades and degree position he never earned, he doesn't have iq for work.",4,3
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","A degree position he never earned is given to him by the school and he doesn't have iq for that.",4,3
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","He never earned a degree and has no iq for a job like that..",3,3
"nothing royal about this wedding he is a bastard and she is a nignog halfbreed thot and a divorced catholic to boot it is notable that both the father of the bride and the father of the groom did not attend","She is halfbreed and his father was also divorced so it's no wonder that both of them didn't attend this wedding.",4,4
"what sort of white man or woman would vote for this nigger","What kind of white man or woman would vote for this person?",4,4
"what sort of white man or woman would vote for this nigger","Would a white man or woman vote for a black person?",4,5
"what sort of white man or woman would vote for this nigger","Do you know if a white man or woman would vote for a black person?",2,3
"what sort of white man or woman would vote for this nigger","Would a white man or woman vote for a black person?.",2,3
"what sort of white man or woman would vote for this nigger","How much do you think a white man or woman would vote for a black man?",2,2
"what sort of white man or woman would vote for this nigger","A white man or woman would cast a ballot to support a black person.",2,1
"what sort of white man or woman would vote for this nigger","A white man or woman would cast a ballot for a black person.",2,1
"what sort of white man or woman would vote for this nigger","A white man or woman would cast a ballot for a black person",2,1
"diversity is a code word for white genocide immigrants contribute and integrate 3 rd world retards freeload and fornicate","Diversity is a code word for white genocide immigrants.",4,5
"nothing royal about this wedding he is a bastard and she is a nignog halfbreed thot and a divorced catholic to boot it is notable that both the father of the bride and the father of the groom did not attend","She is halfbreed and his father was also divorced so it's no wonder that both of them didn't attend this wedding.",2,4
"what sort of white man or woman would vote for this nigger","What kind of white man or woman would vote for this person?",5,1
"what sort of white man or woman would vote for this nigger","Would a white man or woman vote for a black person?",5,3
"what sort of white man or woman would vote for this nigger","Do you know if a white man or woman would vote for a black person?",3,3
"what sort of white man or woman would vote for this nigger","Would a white man or woman vote for a black person?.",3,3
"what sort of white man or woman would vote for this nigger","How much do you think a white man or woman would vote for a black man?",3,3
"what sort of white man or woman would vote for this nigger","A white man or woman would cast a ballot to support a black person.",2,2
"what sort of white man or woman would vote for this nigger","A white man or woman would cast a ballot for a black person.",2,2
"what sort of white man or woman would vote for this nigger","A white man or woman would cast a ballot for a black person",2,2
"diversity is a code word for white genocide immigrants contribute and integrate 3 rd world retards freeload and fornicate","Diversity is a code word for white genocide immigrants.",3,5
"nothing royal about this wedding he is a bastard and she is a nignog halfbreed thot and a divorced catholic to boot it is notable that both the father of the bride and the father of the groom did not attend","She is halfbreed and his father was also divorced so it's no wonder that both of them didn't attend this wedding.",3,4
"what sort of white man or woman would vote for this nigger","What kind of white man or woman would vote for this person?",4,2
"what sort of white man or woman would vote for this nigger","Would a white man or woman vote for a black person?",2,1
"what sort of white man or woman would vote for this nigger","Do you know if a white man or woman would vote for a black person?",2,1
"what sort of white man or woman would vote for this nigger","Would a white man or woman vote for a black person?.",2,1
"what sort of white man or woman would vote for this nigger","How much do you think a white man or woman would vote for a black man?",2,1
"what sort of white man or woman would vote for this nigger","A white man or woman would cast a ballot to support a black person.",2,1
"what sort of white man or woman would vote for this nigger","A white man or woman would cast a ballot for a black person.",2,1
"what sort of white man or woman would vote for this nigger","A white man or woman would cast a ballot for a black person",2,1
