CAMPAIGN_ID,8ef33c3264d6_HG
CAMPAIGN_TITLE,"TTV-Translated Hate Speech Evaluation: Rate"
EMPLOYER_ID,f39a7deb

"Original phrase","New phrase","Similarity (1-5)","Hatefulness (1-5)"
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","A degree position he never earned is given to him by the school and he doesn't have iq for it..",4,1
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","He never earned a degree and has no iq for a job like this..",3,1
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","A degree position he never earned is given to him by the school and he doesn't have iq for it.",3,1
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","It's not a good thing that he never earned a degree or got a job.",2,1
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","In order to get a school job degree position he never earned, he has to have good grades.",2,1
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","graded to school, he never earned a degree and does not have iq for work.",1,1
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","It's not a good thing that he never earned his degree or got a job that was good for him.",2,1
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","In order to get a school job degree position he never earned, he has to have an iq for it.",2,1
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","In order to get a school job degree position he never earned, he has to have an iq for that position.",2,1
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","He never earned a degree and has no iq for a job like that..,",2,1
"Melody you need potassium eat a banana you fucking nigger","Eating a banana is what you need to be happy.",1,1
"Melody you need potassium eat a banana you fucking nigger","You should eat a banana, Melody.",3,1
"Melody you need potassium eat a banana you fucking nigger","The person said that they need to eat a banana.",1,1
"Melody you need potassium eat a banana you fucking nigger","A banana is what you should eat.",2,1
"Melody you need potassium eat a banana you fucking nigger","A banana is what you must eat.",2,1
"Melody you need potassium eat a banana you fucking nigger","Don't you think you need a banana?",2,1
"Melody you need potassium eat a banana you fucking nigger","Don't you think you need to eat a banana?",1,1
"Melody you need potassium eat a banana you fucking nigger","Do you need a banana?",1,1
"Melody you need potassium eat a banana you fucking nigger","Don't you think you need to eat abanana?",1,1
"Melody you need potassium eat a banana you fucking nigger","""You should eat a banana."" ""You should eat a banana.""",2,1
"i guess this nigger and his mudshark are unaware of the merchant this is some hilarious trolling","They are unaware of the merchant, that's a funny thing.",3,1
"i guess this nigger and his mudshark are unaware of the merchant this is some hilarious trolling","They are unaware of the merchant, that's a funny joke.",3,1
"i guess this nigger and his mudshark are unaware of the merchant this is some hilarious trolling","These two people are unaware of a merchant, I think.",4,4
"i guess this nigger and his mudshark are unaware of the merchant this is some hilarious trolling","He and his mudshark are unaware of the merchant.",4,4
"i guess this nigger and his mudshark are unaware of the merchant this is some hilarious trolling","My guess is that these two are unaware of the merchant.",3,1
"i guess this nigger and his mudshark are unaware of the merchant this is some hilarious trolling","My guess is that these two are unaware of the merchant",3,1
"i guess this nigger and his mudshark are unaware of the merchant this is some hilarious trolling","He and his mudshark are unaware of the merchant. The troll was funny",2,4
"the pentagon is like a street nigger constantly bumming cigarettes spare change","The pentagon is like a street with cigarettes and spare change.",1,1
"the pentagon is like a street nigger constantly bumming cigarettes spare change","The pentagon is like a street with cigarettes.",1,1
"the pentagon is like a street nigger constantly bumming cigarettes spare change","The pentagon is like a street with cigarettes and spare change on it.",1,1
"i guess this nigger and his mudshark are unaware of the merchant this is some hilarious trolling","They are unaware of the merchant, that's a funny thing.",5,1
"i guess this nigger and his mudshark are unaware of the merchant this is some hilarious trolling","They are unaware of the merchant, that's a funny joke.",5,1
"i guess this nigger and his mudshark are unaware of the merchant this is some hilarious trolling","These two people are unaware of a merchant, I think.",3,1
"i guess this nigger and his mudshark are unaware of the merchant this is some hilarious trolling","He and his mudshark are unaware of the merchant.",2,5
"i guess this nigger and his mudshark are unaware of the merchant this is some hilarious trolling","My guess is that these two are unaware of the merchant.",3,1
"i guess this nigger and his mudshark are unaware of the merchant this is some hilarious trolling","My guess is that these two are unaware of the merchant",3,1
"i guess this nigger and his mudshark are unaware of the merchant this is some hilarious trolling","He and his mudshark are unaware of the merchant. The troll was funny",5,5
"the pentagon is like a street nigger constantly bumming cigarettes spare change","The pentagon is like a street with cigarettes and spare change.",2,1
"the pentagon is like a street nigger constantly bumming cigarettes spare change","The pentagon is like a street with cigarettes.",2,1
