"source_text","target_text"
"nigger faggot retard beaner dishwasher time to see if i get ban","The dishwasher time is to see if I get banned."
"nigger faggot retard beaner dishwasher time to see if i get ban","If I get a ban, I'll have to wait for the dishwasher."
"nigger faggot retard beaner dishwasher time to see if i get ban","If I get banned, I'll have to wait for the dishwasher to wash me."
"nigger faggot retard beaner dishwasher time to see if i get ban","The dishwasher time is to see if I get a ban."
"nigger faggot retard beaner dishwasher time to see if i get ban","If I get banned, I'll have to wait for the dishwasher to wash."
"nigger faggot retard beaner dishwasher time to see if i get ban","It's time for the dishwasher to see if I get banned."
"nigger faggot retard beaner dishwasher time to see if i get ban","It's time for the dishwasher to see if I get a ban."
"nigger faggot retard beaner dishwasher time to see if i get ban","The dishwasher time is to see if I get a ban or not."
"nigger faggot retard beaner dishwasher time to see if i get ban","There is a dishwasher time to see if I get banned."
"nigger faggot retard beaner dishwasher time to see if i get ban","The dishwasher time will be used to see if I get banned."
"nigger faggot retard beaner dishwasher time to see if i get ban","It's time for the dishwasher to see if I get a ban or not."
"nigger faggot retard beaner dishwasher time to see if i get ban","The dishwasher time is to see if I get a ban.."
"nigger faggot retard beaner dishwasher time to see if i get ban","There is a dishwasher time to see if I get a ban."
"nigger faggot retard beaner dishwasher time to see if i get ban","The dishwasher time will be used to see if I get a ban."
"nigger faggot retard beaner dishwasher time to see if i get ban","The dishwasher time is to see if I get a ban or not?"
"nigger faggot retard beaner dishwasher time to see if i get ban","The dishwasher time is to see if I get a ban or not.."
"nigger faggot retard beaner dishwasher time to see if i get ban","After a while, the dishwasher time will be used to see if I get banned."
"nigger faggot retard beaner dishwasher time to see if i get ban","beaner will be in the dishwasher for a few hours to see if he gets banned"
"nigger faggot retard beaner dishwasher time to see if i get ban","dishwasher time to see if I get banned"
"nigger faggot retard beaner dishwasher time to see if i get ban","It's time for the dishwasher to see if I get a ban or not"
"nigger faggot retard beaner dishwasher time to see if i get ban","It's time for the dishwasher to see if I get a ban or no ban."
"nigger faggot retard beaner dishwasher time to see if i get ban","There is a dishwasher time to see if I get a ban or not."
"nigger faggot retard beaner dishwasher time to see if i get ban","The dishwasher time will be used to see if I get a ban or not."
"nigger faggot retard beaner dishwasher time to see if i get ban","beaner will be in the dishwasher for a few hours to see if I get banned"
"nigger faggot retard beaner dishwasher time to see if i get ban","beaner will be in the dishwasher for a few hours to see if he gets banned."
"nigger faggot retard beaner dishwasher time to see if i get ban","After a while, the dishwasher time will be used to see if I get a ban."
"nigger faggot retard beaner dishwasher time to see if i get ban","So if I get banned, how long will it take for me to clean the dishwasher?"
"nigger faggot retard beaner dishwasher time to see if i get ban","The dishwasher time is to see if I get a ban or not. "
"nigger faggot retard beaner dishwasher time to see if i get ban","if i get ban it will take a while to clean the dishwasher"
"nigger faggot retard beaner dishwasher time to see if i get ban","So if I get banned, how long will it take for me to wash the dishwasher?"
"nigger faggot retard beaner dishwasher time to see if i get ban","There is a dishwasher time to see if I get a ban or not?"
"nigger faggot retard beaner dishwasher time to see if i get ban","The dishwasher time will be used to see if I get a ban or not?"
"nigger faggot retard beaner dishwasher time to see if i get ban","Can beaner wait a while for the dishwasher to see if he gets banned?"
"nigger faggot retard beaner dishwasher time to see if i get ban","Can beaner wait a while for the dishwasher to see if I get banned?"
"that a retarded non argument the bible is also a best seller in communist china","The bible is a best seller in communist China."
"that a retarded non argument the bible is also a best seller in communist china","The bible is a best seller in communist china."
"that a retarded non argument the bible is also a best seller in communist china","The bible is one of the best sellers in communist china."
"that a retarded non argument the bible is also a best seller in communist china","The bible is one of the best sellers in communist China."
"that a retarded non argument the bible is also a best seller in communist china","It's a fact that the bible is a best seller in communist china."
"that a retarded non argument the bible is also a best seller in communist china","It's a fact that the bible is a best seller in communist China."
