"source_text","target_text"
"You look like Sloth with deeper Down’s syndrome","You look like a person with Down syndrome."
"You look like Sloth with deeper Down’s syndrome","You look like a person with Down syndrome, like Sloth."
"You look like Sloth with deeper Down’s syndrome","You have deeper Down is Syndrome."
"You look like Sloth with deeper Down’s syndrome","Is that you are like Sloth with deeper Down?"
"You look like Sloth with deeper Down’s syndrome","A deeper Down is syndrome is what you look like."
"You look like Sloth with deeper Down’s syndrome","Do you look like Sloth with deeper Down?"
"You look like Sloth with deeper Down’s syndrome","You look like a person with Down syndrome, like sloth."
"You look like Sloth with deeper Down’s syndrome","You appear to have deeper Down is Syndrome."
"You look like Sloth with deeper Down’s syndrome","Do you look like Sloth with deeper Down is Syndrome?"
"You look like Sloth with deeper Down’s syndrome","Do you look like Sloth with deeper Down is syndrome?"
"You look like Sloth with deeper Down’s syndrome","You appear to have deeper Down is syndrome."
"You look like Sloth with deeper Down’s syndrome","A deeper Down is syndrome, and you look like it."
"You look like Sloth with deeper Down’s syndrome","A deeper Down is syndrome, and you look like it"
"You look like Sloth with deeper Down’s syndrome","A deeper Down is syndrome, and you look like it to me"
"You look like Sloth with deeper Down’s syndrome","So, you look like Sloth with deeper Down is Syndrome?"
"You look like Sloth with deeper Down’s syndrome","So, you look like Sloth with deeper Down is syndrome?"
"You look like Sloth with deeper Down’s syndrome","You appear to have deeper Down is Syndrome.."
"You look like Sloth with deeper Down’s syndrome","So, you look like Sloth with deeper Down is Syndrome"
"You look like Sloth with deeper Down’s syndrome","So, you look like Sloth with deeper Down is syndrome"
"You look like Sloth with deeper Down’s syndrome","Do you look like Sloth with deeper Down is Syndrome??"
"You look like Sloth with deeper Down’s syndrome","Do you look like Sloth with deeper Down is Syndrome?,"
"You look like Sloth with deeper Down’s syndrome","Look like Sloth and have deeper Down is Syndrome"
"You look like Sloth with deeper Down’s syndrome","You appear to have deeper Down is Syndrome.,"
"You look like Sloth with deeper Down’s syndrome","Look like Sloth and have deeper Down is syndrome"
"You look like Sloth with deeper Down’s syndrome","Look like Sloth and have deeper Down is Syndrome!"
"You look like Sloth with deeper Down’s syndrome","Sloth with deeper Down is Syndrome, you look that way!"
"You look like Russian and speak like Indian. Both are disgusting go kill yourself","You look like a Russian and speak like an Indian."
"You look like Russian and speak like Indian. Both are disgusting go kill yourself","You look like a Russian and speak like a Indian."
"You look like Russian and speak like Indian. Both are disgusting go kill yourself","You look like a Russian and speak like an Indian.."
"You look like Russian and speak like Indian. Both are disgusting go kill yourself","You look like a Russian and speak like a Indian.."
"You look like Russian and speak like Indian. Both are disgusting go kill yourself","Say no to both of them, you look like Russian and speak Indian"
"You look like Russian and speak like Indian. Both are disgusting go kill yourself","Russian and Indian are both disgusting ways of speaking."
"You look like Russian and speak like Indian. Both are disgusting go kill yourself","Russian and Indian are both disgusting ways to speak."
"Women deserve to be abused, I guess.","I suppose that women deserve to be treated well."
"Women deserve to be abused, I guess.","women should be protected from abuse I guess"
"Women deserve to be abused, I guess.","The women deserve to be treated well."
"Women deserve to be abused, I guess.","The women deserve to be treated well"
"Women deserve to be abused, I guess.","The women deserve to be treated well, I suppose."
"Women deserve to be abused, I guess.","The women deserve to be treated well, I guess."
"Women deserve to be abused, I guess.","The women deserve to be treated well, I guess"
"Women deserve to be abused, I guess.","The women deserve to be treated well, I suppose"
"Women deserve to be abused, I guess.","women should be protected from abuse I guess."
"Women deserve to be abused, I guess.","I suppose that women deserve to be treated well.."
"Women deserve to be abused, I guess.","women should be protected from abuse I suppose."
"Women deserve to be abused, I guess.","A woman is probably deserving of being Abused I guess."
"Women deserve to be abused, I guess.","A woman is probably deserving of being abused, I guess"
"Women deserve to be abused, I guess.","The women deserve to be treated well, I suppose.."
"Women deserve to be abused, I guess.","The women deserve to be treated well, I guess.."
"Women are made for making babies and cooking dinner and nothing else!!!","Women are made to cook dinner and make babies, and nothing else."
