"source_text","target_text"
"hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","There is proof that the anti q troll are fake."
"hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","The proof is that the anti q troll are fake."
"hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","Proof that the anti q troll are fake."
"hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","Yes, there's proof that the anti q troll are fake."
"hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","Evidence shows that the anti q troll are fake."
"hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","Yes, there's proof that the anti q troll are not real."
"hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","Evidence shows that the anti q trolls are fake."
"hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","It's proof that the anti q troll are not real."
"hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","There is proof that the anti q troll are fake.."
"hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","It's proof that the anti q troll are not real, they're fake."
"hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","The proof is that the anti q troll are fake.."
"hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","It's proof that the anti q troll are not real, they're just fake."
"hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","It's proof that the anti q troll are not real, but fake."
"hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","Yes, there's proof that the anti q troll are not real people."
"hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","proof the anti q troll are fake."
"hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","proof the anti q troll are fake"
"hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","Yes, there's proof that the anti q troll are not real people at all."
"hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","proof the anti q trolls are fake."
"hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","Yes, there's proof that the anti q troll are not real people at all"
"hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","The anti q troll are fake, proof."
"hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","A lot of people think there's an anti q troll in this place and they're fake."
"hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","Evidence shows that the anti q troll are fake. "
"hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","There is proof that the anti q troll are fake..."
