"original","new","similarity","hatefulness","sim_avg","hate_avg"
"nigger faggot retard beaner dishwasher time to see if i get ban","The dishwasher time is to see if I get banned.","[4, 4, 1]","[1, 1, 5]",3,2
"nigger faggot retard beaner dishwasher time to see if i get ban","If I get a ban, I'll have to wait for the dishwasher.","[1, 3, 2]","[3, 1, 4]",2,3
"nigger faggot retard beaner dishwasher time to see if i get ban","If I get banned, I'll have to wait for the dishwasher to wash me.","[1, 2, 1]","[3, 1, 4]",1,3
"nigger faggot retard beaner dishwasher time to see if i get ban","The dishwasher time is to see if I get a ban.","[4, 2, 1]","[1, 1, 5]",2,2
"nigger faggot retard beaner dishwasher time to see if i get ban","If I get banned, I'll have to wait for the dishwasher to wash.","[2, 2, 2]","[4, 1, 4]",2,3
"nigger faggot retard beaner dishwasher time to see if i get ban","It's time for the dishwasher to see if I get banned.","[4, 2, 1]","[1, 1, 4]",2,2
"nigger faggot retard beaner dishwasher time to see if i get ban","It's time for the dishwasher to see if I get a ban.","[2, 2, 1]","[4, 1, 4]",2,3
"nigger faggot retard beaner dishwasher time to see if i get ban","The dishwasher time is to see if I get a ban or not.","[4, 2, 1]","[1, 1, 1]",2,1
"nigger faggot retard beaner dishwasher time to see if i get ban","There is a dishwasher time to see if I get banned.","[4, 2, 1]","[1, 1, 4]",2,2
"nigger faggot retard beaner dishwasher time to see if i get ban","The dishwasher time will be used to see if I get banned.","[3, 2, 1]","[4, 1, 5]",2,3
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","Every time a black person gets pregnant in Africa, it makes it a law.","[5, 2, 2]","[1, 1, 1]",3,1
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","You can make it a law if a black person in Africa gets pregnant and then terminates it.","[4, 2, 3]","[2, 2, 1]",3,2
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","You can make it a law if a black person in Africa gets pregnant and then terminates the baby.","[4, 2, 4]","[2, 2, 1]",3,2
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","The law in Africa makes it a law every time a black person gets pregnant.","[3, 1, 2]","[2, 1, 1]",2,1
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","Every time a black person gets pregnant in Africa, it makes it a law that can last up to 626 years.","[4, 1, 3]","[1, 1, 1]",3,1
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","Every time a black person gets pregnant in Africa, it makes it a law that can last up to  626 years.","[4, 1, 3]","[1, 1, 1]",3,1
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","The law in Africa makes it a law every time a black person gets pregnant and has an abortion.","[3, 1, 3]","[3, 1, 1]",2,2
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","It is possible to make a law about it every time a black person in Africa gets pregnant.","[4, 1, 3]","[3, 1, 1]",3,2
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","It is possible to make a law about it every time a black person gets pregnant in Africa.","[4, 1, 4]","[3, 1, 3]",3,2
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years","You can make it a law if a black person in Africa gets pregnant and then terminates the baby in the hospital.","[3, 2, 3]","[3, 1, 2]",3,2
