CAMPAIGN_ID,a36dfe57fa1a_HG
CAMPAIGN_TITLE,"TTV-Hate Speech Evaluation: Rate"
EMPLOYER_ID,f39a7deb

"Original phrase","New phrase","Similarity (1-5)","Hatefulness (1-5)"
"the pentagon is like a street nigger constantly bumming cigarettes spare change","The pentagon is like a street with cigarettes and change.",1,1
"the pentagon is like a street nigger constantly bumming cigarettes spare change","The pentagon is like a street with cigarettes and spare change on the corner.",1,1
"the pentagon is like a street nigger constantly bumming cigarettes spare change","It is a street with cigarettes and spare change.",1,1
"the pentagon is like a street nigger constantly bumming cigarettes spare change","The pentagon is like a street with cigarettes and spare change on it",1,1
"the pentagon is like a street nigger constantly bumming cigarettes spare change","cigarettes and spare change are constantly bumming in the pentagon",2,2
"the pentagon is like a street nigger constantly bumming cigarettes spare change","The pentagon is like a street with cigarettes and spare change on it..",1,1
"the pentagon is like a street nigger constantly bumming cigarettes spare change","It is a street that is constantly bumming cigarettes and spare change.",4,2
"the pentagon is like a street nigger constantly bumming cigarettes spare change","It is a street that is constantly bumming cigarettes.",4,2
"the pentagon is like a street nigger constantly bumming cigarettes spare change","cigarettes and spare change are constantly bumming on the street",1,2
"the pentagon is like a street nigger constantly bumming cigarettes spare change","cigarettes and spare change are constantly bumming on the street in the pentagon",1,2
"what a fucking nigger fag pantload i wonder who actually wrote that for this affirmative action push along toy","I wonder who wrote that for the affirmative action push along toy..!",4,1
"what a fucking nigger fag pantload i wonder who actually wrote that for this affirmative action push along toy","Whose idea was it to write that for affirmative action push along toy? I don't know",4,1
"what a fucking nigger fag pantload i wonder who actually wrote that for this affirmative action push along toy","That was an affirmative action push along toy, I wonder who wrote that?,",3,1
"what a fucking nigger fag pantload i wonder who actually wrote that for this affirmative action push along toy","Whose idea was it to write that for affirmative action push along toy? I wonder.",3,1
"what a fucking nigger fag pantload i wonder who actually wrote that for this affirmative action push along toy","Whose idea was it to write that for affirmative action push along toy? I wonder",3,1
"what a fucking nigger fag pantload i wonder who actually wrote that for this affirmative action push along toy","Whose idea was it to write that for affirmative action push along toy? I don't know.",2,1
"what a fucking nigger fag pantload i wonder who actually wrote that for this affirmative action push along toy","I wonder who wrote that for the affirmative action push along toy.. and",2,1
"what a fucking nigger fag pantload i wonder who actually wrote that for this affirmative action push along toy","How come someone wrote a Affirmative Action Push Along Toy for a black person?",1,2
"what a fucking nigger fag pantload i wonder who actually wrote that for this affirmative action push along toy","who actually wrote that for the push along toy?",2,1
"only when middle school girls drive dykes to the nuthouse underage shitskin rapists get their ids protected","Only when middle school girls drive dykes to the nuthouse.",1,1
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","""You are only one of the people I can call on when I need them, and they are there when I need them.""",3,1
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","""You are only one of the people I can call on when I need them, and they are there when I need them but not anymore.""",3,1
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","""You are only one of the people I can call on when I need them, and they are there when I need them but not as much as I would like.""",3,1
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","""You are only one of the people I can call on when I need them, and they are there when I need them but not as much as I would have liked.""",3,1
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","Someone that I can call on when I need them, but only if it's a good one, would be my best friend.",2,1
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","""You are only one of the people I can call on when I need them, and they are there when I need them but not as much.""",2,1
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","Someone that I can call on when I need them, but only if it's a good one, would be my bestfriend like you.",2,1
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","You only have one friend I can call on when I need someone and they are there when I need them, so you are the only one I can call on for that..",2,1
