CAMPAIGN_ID,e178db2ff50e_HG
CAMPAIGN_TITLE,"TTV-Hate Speech Evaluation: Rate"
EMPLOYER_ID,f39a7deb

"Original phrase","New phrase","Similarity (1-5)","Hatefulness (1-5)"
"hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","There is proof that the anti q troll are fake.",4,2
"hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","The proof is that the anti q troll are fake.",3,2
"hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","Proof that the anti q troll are fake.",3,2
"hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","Yes, there's proof that the anti q troll are fake.",4,2
"hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","Evidence shows that the anti q troll are fake.",4,2
"hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","Yes, there's proof that the anti q troll are not real.",5,2
"hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","Evidence shows that the anti q trolls are fake.",4,2
"hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","It's proof that the anti q troll are not real.",4,2
"hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","There is proof that the anti q troll are fake..",4,2
"hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","It's proof that the anti q troll are not real, they're fake.",4,2
"what a choice the cucknadians must choose between a retarded asshole globalist crypto muslim puppet or a communist parasite either way cucknada is fucked","How about if you choose between a communist or a globalist puppet?",3,4
"what a choice the cucknadians must choose between a retarded asshole globalist crypto muslim puppet or a communist parasite either way cucknada is fucked","We must decide whether or not to support a globalist psyllic muslim puppet or a communist parasites.",3,4
"you all faggot ads niggas keep trying to sabotage my work b bitch ass poppies and jehovah witnesses do not control what i make fuck your mother fuck abc news too and the bitch ads tech assholes","You all want to sabotage my work, but you don't control what I make your mother do.",3,5
"meek and mild c mon don call him what he is a faggot","No, meek and mild, don't call him that.",1,1
"meek and mild c mon don call him what he is a faggot","""Mild and meek"" are the words that should be used to describe him",1,1
"meek and mild c mon don call him what he is a faggot","Call him what he is: meek and mild.",1,1
"meek and mild c mon don call him what he is a faggot","Call him what he is: meek and mild",1,1
"i look at the mudslime news from europe and think i wish some goat fucker would try that shit down here in louisiana just get within 190 feet of my daughters and thats your life over checkout time mohammed","The news from Europe makes me wish that a goat would try it down here in Louisiana and live long enough to have daughters.",1,1
"i look at the mudslime news from europe and think i wish some goat fucker would try that shit down here in louisiana just get within 190 feet of my daughters and thats your life over checkout time mohammed","The news from Europe makes me wish that a goat would try it down here in Louisiana and live long enough to have children.",1,1
"i look at the mudslime news from europe and think i wish some goat fucker would try that shit down here in louisiana just get within 190 feet of my daughters and thats your life over checkout time mohammed","One thing i wish a goat would do is get within 190 feet of my daughters when they are young, because they are too far away for that to happen here in Louisiana.",1,1
"says the swamp muzzie who fucks goats","He says the swamp muzzie is a bad person",4,1
"says the swamp muzzie who fucks goats","says the swamp muzzie who does goat tricks?",1,1
"says the swamp muzzie who fucks goats","says the swamp muzzie who does goat tricks.,",1,1
"says the swamp muzzie who fucks goats","says the swamp muzzie who does goat tricks.",1,1
"white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone","To start caring about their own kind, white people need to stop caring about other people and start caring about themselves.",5,1
"white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone","It's time for white people to start caring about their own kind instead of being so focused on what other people think about them.",5,1
"white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone","White people need to start caring about their own kind, instead of being so focused on what other people think about them that they forget to care about themselves.",3,1
"white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone","White people need to start caring about their own kind, instead of being so focused on what other people think about them that they don't care about their own kind.",3,1
"white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone","White people need to start caring about their own kind, instead of being so focused on what other people think about them that they don't care about their own.",3,1
"white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone","White people need to start caring about their own kind, instead of being so focused on what other people think about them that they don't care about their own kind at all.",3,1
"says the swamp muzzie who fucks goats","He says the swamp muzzie is a bad person",1,1
"says the swamp muzzie who fucks goats","says the swamp muzzie who does goat tricks?",2,1
"says the swamp muzzie who fucks goats","says the swamp muzzie who does goat tricks.,",2,1
"says the swamp muzzie who fucks goats","says the swamp muzzie who does goat tricks.",2,1
"white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone","To start caring about their own kind, white people need to stop caring about other people and start caring about themselves.",3,1
"white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone","It's time for white people to start caring about their own kind instead of being so focused on what other people think about them.",2,1
"white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone","White people need to start caring about their own kind, instead of being so focused on what other people think about them that they forget to care about themselves.",4,1
"white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone","White people need to start caring about their own kind, instead of being so focused on what other people think about them that they don't care about their own kind.",4,1
"white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone","White people need to start caring about their own kind, instead of being so focused on what other people think about them that they don't care about their own.",4,1
"white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone","White people need to start caring about their own kind, instead of being so focused on what other people think about them that they don't care about their own kind at all.",4,1
"says the swamp muzzie who fucks goats","He says the swamp muzzie is a bad person",1,2
"says the swamp muzzie who fucks goats","says the swamp muzzie who does goat tricks?",1,4
"says the swamp muzzie who fucks goats","says the swamp muzzie who does goat tricks.,",1,4
"says the swamp muzzie who fucks goats","says the swamp muzzie who does goat tricks.",1,4
"white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone","To start caring about their own kind, white people need to stop caring about other people and start caring about themselves.",2,3
"white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone","It's time for white people to start caring about their own kind instead of being so focused on what other people think about them.",1,1
"white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone","White people need to start caring about their own kind, instead of being so focused on what other people think about them that they forget to care about themselves.",1,1
